trial,date,species,cycle,sin_cycle,cos_cycle,seeds_maze,seeds_control,trial_length,f_control_with_op,f_maze_with_op,second_tray,antipredator,competition,dig,f_control,f_maze,open,shelter,first.vs.second.time,first.vs.second.seeds
1,13/03/2025,gerbillus andersoni,5,-0.707106781,-0.707106781,0,0,60,1.327766667,0.410516667,0.22,7.24,0,8.84,1.33,0.41,2.27,18.22,-0.92,0
2,04/04/2025,gerbillus andersoni,2,1,6.12E-17,0.63,0.24,60,3.2444,8.20855,59.4,0.58,0,0,3.24,8.21,0.91,52.6,4.97,0.39
5,10/04/2025,gerbillus floweri,4,1.22E-16,-1,2.1,0,60,4.934333333,20.8182,1.6,1.17,0.14,0,4.93,20.82,2.8,23.64,15.89,2.1
6,24/04/2025,gerbillus floweri,8,-2.45E-16,1,2.53,1.75,60,12.84495,18.7613,1.59,5.78,0,0,12.84,18.76,6.23,26.55,5.92,0.78
7,24/04/2025,gerbillus andersoni,8,-2.45E-16,1,1.38,3.92,60,16.29841667,5.547666667,2.22,1.64,0,0,16.3,5.55,4.15,22.05,-10.75,-2.54
8,29/04/2025,gerbillus floweri,2,1,6.12E-17,2.73,2.55,60,10.92971667,14.25268333,1.18,2.72,1.82,0,10.93,14.13,4.23,25.75,3.2,0.18
9,08/05/2025,gerbillus andersoni,4,1.22E-16,-1,3.42,0.11,60,9.9602,15.82281667,6.65,1.23,0,0,9.96,15.82,1.86,22.27,5.86,3.31
10,15/05/2025,gerbillus floweri,6,-1,-1.84E-16,4.38,3.04,60,19.67865,15.52916667,3.97,3.81,9.25,0.19,17.66,12.06,3.44,10.04,-5.6,1.34
11,15/05/2025,gerbillus andersoni,6,-1,-1.84E-16,2.95,2.04,60,8.96705,8.2512,2.5,7.92,5.24,4.23,5.9,6.86,3.15,20.83,0.96,0.91
12,22/05/2025,gerbillus floweri,8,-2.45E-16,1,3.04,0.74,60,5.231333333,24.5326,10.72,3.69,4.18,0,4.77,13.33,5.15,28.45,8.56,2.3
13,22/05/2025,gerbillus andersoni,8,-2.45E-16,1,3.75,2.52,60,8.737783333,17.06663333,28.48,1.78,0,0,8.74,17.07,1.99,24.41,8.33,1.23
14,12/06/2025,gerbillus andersoni,6,-1,-1.84E-16,5.51,4.93,60,16.43733333,21.41243333,1.91,6.86,0,0,16.44,21.41,6.56,0,4.97,0.58
15,12/06/2025,gerbillus andersoni,6,-1,-1.84E-16,5,4.78,60,14.99896667,17.95253333,5.39,1.52,0,0,15,17.95,3.83,0.03,2.95,0.22
16,03/07/2025,gerbillus andersoni,3,0.707106781,-0.707106781,2.96,3.91,60,19.5629,17.01876667,1.92,1.61,0,0,19.56,17.02,5.86,0.61,-2.54,-0.95
17,03/07/2025,gerbillus andersoni,3,0.707106781,-0.707106781,3.37,2.52,60,9.492083333,12.43041667,2.67,6.38,0,0,9.49,12.43,2.76,0.04,2.94,0.85
18,20/08/2025,gerbillus andersoni,8,-2.45E-16,1,7.43,0,60,0,36.38783333,60,0.86,0,0,0,36.39,7.08,1.85,36.39,7.43
19,28/08/2025,gerbillus andersoni,2,1,6.12E-17,6.57,0,60,0,37.53391667,60,2.51,0,0.19,0,37.53,5.3,0,37.53,6.57
20,04/09/2025,gerbillus andersoni,4,1.22E-16,-1,7.17,0,60,0,36.54403333,60,3.5,0,0,0,36.54,4.56,0.06,36.54,7.17
21,18/09/2025,gerbillus floweri,8,-2.45E-16,1,5.74,4.43,60,10.72913333,8.592383333,6.43,0.52,0,0,10.73,8.59,8.26,0,-2.14,1.31
